Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",155.000000,-53.250000,-90.000000,top
"C2","0.1uF","C_0805_2012Metric",157.000000,-53.250000,-90.000000,top
"C3","220pF","C_0805_2012Metric",165.750000,-48.000000,180.000000,top
"C4","220pF","C_0805_2012Metric",158.700000,-48.000000,180.000000,top
"C5","10uF","C_0805_2012Metric",104.820000,-43.180000,180.000000,top
"C6","0.1uF","C_0805_2012Metric",104.820000,-45.240000,180.000000,top
"C7","10uF","C_0805_2012Metric",157.700000,-63.025000,0.000000,top
"C8","10uF","C_0805_2012Metric",161.200000,-63.025000,180.000000,top
"C10","0.1uF","C_0805_2012Metric",118.550000,-74.700000,-90.000000,top
"C11","0.1uF","C_0805_2012Metric",119.050000,-62.750000,-90.000000,top
"D1","CHARGE_LED","LED_0805_2012Metric",163.450000,-69.800000,0.000000,top
"FB1","Ferrite","Ferrite-0805",162.200000,-48.000000,0.000000,top
"FB2","Ferrite","Ferrite-0805",155.200000,-48.000000,0.000000,top
"J2","Micro_SD_Card_Det","microSD_HC_Molex_104031-0811",113.500000,-45.587500,0.000000,top
"Q1","DMG2305UX","SOT-23",167.100000,-53.760000,90.000000,top
"R2","47K","R_0805_2012Metric",120.000000,-54.400000,90.000000,top
"R3","47K","R_0805_2012Metric",117.500000,-54.412500,90.000000,top
"R4","47K","R_0805_2012Metric",115.000000,-54.400000,90.000000,top
"R5","47K","R_0805_2012Metric",112.550000,-54.412500,90.000000,top
"R6","47K","R_0805_2012Metric",110.150000,-54.400000,90.000000,top
"R7","47K","R_0805_2012Metric",107.700000,-54.400000,90.000000,top
"R8","1K","R_0805_2012Metric",154.550000,-66.400000,90.000000,top
"R9","10K","R_0805_2012Metric",156.550000,-66.400000,90.000000,top
"R10","1K","R_0805_2012Metric",166.200000,-64.187500,-90.000000,top
"R11","20K","R_0805_2012Metric",164.200000,-64.187500,90.000000,top
"R12","20K","R_0805_2012Metric",163.450000,-67.525000,0.000000,top
"R14","2K7","R_0805_2012Metric",111.550000,-86.550000,-90.000000,top
"R15","2K7","R_0805_2012Metric",113.800000,-86.550000,-90.000000,top
"R16","2K7","R_0805_2012Metric",116.050000,-86.500000,-90.000000,top
"R17","10K","R_0805_2012Metric",114.662500,-95.600000,0.000000,top
"R18","10K","R_0805_2012Metric",114.662500,-93.600000,0.000000,top
"R19","10K","R_0805_2012Metric",109.750000,-94.537500,-90.000000,top
"R20","10K","R_0805_2012Metric",105.100000,-94.525000,-90.000000,top
"R21","10K","R_0805_2012Metric",107.500000,-94.650000,-90.000000,top
"R22","10K","R_0805_2012Metric",120.500000,-95.600000,0.000000,top
"R23","10K","R_0805_2012Metric",120.500000,-93.600000,0.000000,top
"U2","MAX98357","TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",160.250000,-53.000000,0.000000,top
"U3","BQ25172","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",159.490000,-65.290000,0.000000,top
"U5","74HC4051","SOIC-16_3.9x9.9mm_P1.27mm",112.900000,-78.340000,0.000000,top
"U6","4072","SOIC-14_3.9x8.7mm_P1.27mm",113.800000,-64.450000,0.000000,top
